name,rating,atnm,region_name,outdoor_swimming_pool,restaurant,excellent_breakfast,free_parking,free_wifi,fitness_center,breakfast,bar,very_good_breakfast,indoor_swimming_pool,spa,3_swimming_pools,2_swimming_pools,4_swimming_pools,room_service,beachfront,private_beach_area,wifi_in_all_areas
"Oso Blanco, 2 Bedrooms, Sleeps 4, Near Golf Course, Gas Fireplace, WiFi",8.3,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vintage charm vacation home with modern comforts near Old Town,9.7,Vacation Homes,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Southwestern Ruidoso Hideaway with Furnished Deck!,8.5,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ruidoso Lodge Cabins # 3,9.6,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WorldMark Santa Fe,8.7,Hotels,New Mexico,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mountain Escape,5.5,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowboy Cabin,7,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruidoso Home with Private Wet Bar and Pool Table,7,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sic em Bears Mountain Cabin with Hot Tub and Deck!,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Bear Country - Upper Canyon Hot Tub cabin with fire table,6.7,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sheraton Albuquerque Uptown,7.8,Hotels,New Mexico,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0
Rosewood Inn of the Anasazi,9.1,Hotels,New Mexico,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
Tranquil Cabin with Stream and Deck Near Dtwn Ruidoso!,9,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bear Cave, 2 Bedrooms, Sleeps 6, Fireplace, WiFi, Grill, Mountain View",9.6,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Cozy Bear Hill Cabin with Hot Tub and Game Room!,9,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Comfort Suites Albuquerque,7.4,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Beary Comfy Cabin,7.9,Vacation Homes,New Mexico,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Mountaintop Paradise with Hot Tub, Game Room and Views",9.6,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bogie, 5 Bedrooms, Pool Table, Hot Tub, WiFi, Sleeps 12",8.6,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Contemporary Ruidoso Home with Mtn Views and Hot Tub,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ruidoso Home with Deck about 14 Mi to Ski Apache!,9.5,Vacation Homes,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Paradise on the River, 4 Bedrooms, Sleeps 16, View, Deck, Grill, Hot Tub",10,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Wheeler Peak 401,4,Apartments,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruidoso Family Cabin, Short Walk to Downtown!",7.5,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
La Vista Inn,6.4,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Studio apartment 15 minute walk to plaza,9.4,Apartments,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Fe Motel & Inn,9.1,Inns,New Mexico,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Holiday Inn Express & Suites Clovis, an IHG Hotel",7.7,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"White Mountain Chateau , 4 BRs, Sleeps 10, Hot Tub",9.2,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Riverside Cottage #24,9.6,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASITA MISTICA Farm House at El Mistico,9.6,Vacation Homes,New Mexico,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MainStay Suites,8.7,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hilton Garden Inn Albuquerque/Journal Center,8.3,Hotels,New Mexico,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0
Gated Community Two Master BR Jacuzzi Tub,9.3,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pet-Friendly Taos House with Patio and Hammock!,8.3,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruidoso Lodge Cabins # 8,9.6,Vacation Homes,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TownePlace Suites by Marriott Roswell,7.8,Hotels,New Mexico,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Ruidoso Home with Patio, Walk to Restaurants!",9.4,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa Ponderosa,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Cozy Home with Media Room Short Walk to Taos Plaza!,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serene and Spacious Ruidoso Cabin Ski, Hike and Fish!",9.2,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Loba Luna-Come Home To Enchantment,9.8,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Spacious Railyard Bungalow with Private Patios!,9.3,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TownePlace Suites by Marriott Clovis,8.8,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Apache Motel,6.6,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Agave Tiny House@Cactus Flower-Adorable/HOT TUB!,8.5,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Economy Inn Alamogordo,5.7,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hilton Garden Inn Albuquerque Downtown, Nm",8.6,Hotels,New Mexico,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
Secluded Ruidoso Cabin with Forest Views and Porch!,8.6,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Choice Inn,7,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Quiet Ruidoso Getaway about 18 Mi to Ski Apache!,8.9,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tru By Hilton Albuquerque North I-25, Nm",7.9,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
White Sands Oasis,9,Vacation Homes,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Stone House Lodge,9,Lodges,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Charming Coppertop Cloudcroft Cabin 3 Mi to Ski,9.3,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruidoso Mtn Hideout with Hot Tub and Covered Deck,8,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Shady Brook Inn Village/Resort,9.7,Resorts,New Mexico,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverside Cottage #25,9.4,Vacation Homes,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Fairfield Inn & Suites Roswell,8.4,Hotels,New Mexico,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Vacation Rental 2 Mi to Old Town Albuquerque,7,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Residence Inn by Marriott Albuquerque North,8.2,Hotels,New Mexico,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Artist Road #31, 2 Bedrooms, Sleeps 4, Wood Fireplace, WiFi, Pool Access",10,Apartments,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
DoubleTree by Hilton Santa Fe,7.8,Hotels,New Mexico,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0
The Burque Boho House,9.4,Vacation Homes,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Enchanted Antler Rustic Cabin 3 Mi to Ski Apache,9.3,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleepy Bear Cabin with Large Deck and Yard Games!,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Ruidoso Home with Stunning Views and Hot Tub,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Fairfield Inn & Suites by Marriott Alamogordo,7.4,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard Johnson by Wyndham Gallup,6.8,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Moms Place in Jemez Cozy Home, 1mi to Hot Spring",9,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cielo Grande 303, 2 Bedrooms, HDTV, Pet Friendly, Sleeps 6",8.6,Apartments,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cozy Ruidoso Condo about Half Mile to Midtown!,9,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hampton Inn Clovis, Nm",9.3,Hotels,New Mexico,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Cozy Oasis Unit 16,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Ranchitos Road Retreat,8,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Rustic Ruidoso Cabin with Large Deck and Grill!,8,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilton Garden Inn Albuquerque Uptown,7.6,Hotels,New Mexico,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0
Parkview Motel,6.8,Motels,New Mexico,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ruidoso Alpine Retreat - 1 Mi to the Main Street!,9.3,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TownePlace Suites by Marriott Albuquerque North,7.3,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Cabin Fever - Cozy whirlpool cabin near river & downtown,8.2,Vacation Homes,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Mountains Majesty Cabin with Hot Tub and Mtn Views!,8.3,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Century 21 Motel,6.5,Motels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charming Ruidoso House with Deck and Mountain Views!,7.5,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casita Don Manuel, 1 Bedroom, Sleeps 2, Private Yard, Grill, Kiva Fireplace",8.3,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TownePlace Suites by Marriott Albuquerque Old Town,8.6,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Timbers Six,8,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa Mirador,9.5,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Motel 9 Las Cruces,6.1,Motels,New Mexico,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Super 8 by Wyndham Deming NM,5.9,Motels,New Mexico,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Comfortable Southwest Home,10,Vacation Homes,New Mexico,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Rest,8.4,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Comfort on Closson - Near Plaza - Fire Pit - Patio,9.2,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2 Bedroom - In Railyard, 10 Min. Walk to Plaza - Desert Breeze",7.5,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Residence Inn by Marriott Albuquerque Airport,8.5,Hotels,New Mexico,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Old Taos Guesthouse B&B,9.1,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Casa Buena Suerte- Near Plaza- Quiet- Patio- 2 BR,10,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright Condo with Deck - Golf Course and Mtn Views!,9.5,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelica's Sorrento Home,8.3,Vacation Homes,New Mexico,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Hilton Santa Fe Historic Plaza,7.7,Hotels,New Mexico,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
"Coronado, Cabin at Ruidoso, with Forest View",7.8,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Silver River Adobe Inn Bed and Breakfast,8.1,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Fairfield Inn & Suites by Marriott Albuquerque Airport,7.5,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Tanglewood, Cabin at Ruidoso, with Forest View",7.7,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Beautiful Santa Fe residence blocks from the plaza and close to ski basin,9.8,Condo Hotels,New Mexico,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
National Parks Inn,5.9,Hotels,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Rustic Condo with Patio Walk to Angel Fire Resort!,8.5,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charming Portales Retreat Across From ENMU!,6.5,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apache Village 6, King Studio with Sleeper Sofa, Sleeps 3",7.4,Lodges,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staybridge Suites - Albuquerque Airport, an IHG Hotel",8.3,Hotels,New Mexico,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Touchstone Inn,6.3,Inns,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heavenly Pines, 3 Bedrooms, Wi-Fi, Fireplace, Ramp Accessible, Hot Tub, Sleeps 6",10,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Gold Dust Condo,7.2,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gotch Eyed Moose, 3 Bedrooms, 3 bath, Pool and Tennis Access, Sleeps 10",10,Vacation Homes,New Mexico,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruidoso Cabin - Walk to Local Park and Downtown,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Traditional Adobe Bungalow Less Than 2 Mi to Downtown,8.5,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rustic Angel Fire Condo Less Than 1 Mile to Ski Resort!,9.3,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruidoso Cottage with River Views From Patio!,8.8,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cowboy Villa, 2 Bedrooms, Sleeps 4, Pool Access, Views, Fireplace",9.5,Vacation Homes,New Mexico,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Private room in Awesome Sonoma Ranch Home,5,Homestays,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Econo Lodge West Albuquerque,6,Motels,New Mexico,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Cabin Sweet Cabin,7.6,Vacation Homes,New Mexico,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Charming Alto Condo 2 Mi to Ruidoso Winter Park!,6,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rustic Cloudcroft Cabin on 10 Acres with Grill and Deck,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dancing Hare - Colorful and Inviting Tesuque Home Right Next to Bishop`s Lodge,10,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa Culinaria - The Gourmet Inn,9,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Woodsy Escape with Views, 5 Mi to Ruidoso Downs",9,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sol y Suenos - Master Suite in Amazing Location!!,9.1,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Closson Studio - Stylish - Near Plaza - Queen bed,9.2,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe-Style Abode with Amenities - Walk to Plaza!,9,Apartments,New Mexico,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Sleepy Hollow on the River, 3 Bedrooms, Sleeps 8, Hot Tub, Foosball",8.7,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Galisteo Getaway - Courtyard - Near Railyard,9,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aloft Cabin, 1 Bedroom, 1 Loft, Midtown, Sleeps 6",7.9,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gathering Place Condo - Steps to Ski Lift!,7,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cozyhot Tub Make It A Movie Night Every Night,10,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spacious Mountain Home, 10 Mi to Angel Fire Resort",9.4,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casa Viva, 2 Bedrooms, Walk to Plaza, Fireplace, Pet Friendly, Sleeps 5",10,Apartments,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Condo with Grill Access- Mins to Angel Fire Rsrt,8.8,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pet-Friendly Cloudcroft Cabin Walk to Shops and Food!,9.6,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Earthship retreat + 2 spas + incredible views.,9,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Jim's condo,9.5,Apartments,New Mexico,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheeler Peak Vistas,7.8,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cielo Grande 305, 2 Bedrooms, HDTV, Pet Friendly, Sleeps 6",9.1,Apartments,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Home on the Range,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Lacys Log Cabin Alto Home with Mountain Views!,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruidoso Rabb, 4 Bedrooms, Pet Friendly, Hot Tub, WiFi, Sleeps 10",8.7,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Colorful Bungalow in the Heart of Santa Fe!,9,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cozy Ski Cabin with Deck Near Taos Ski Valley!,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robins Nest, Pet Friendly, 3 Bedrooms, Fireplace, Hot Tub, Game Room, Sleeps 8",7.7,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Breakaway Cabin, 3 Bedrooms, Sleeps 6, Pets Welcome, Wood Fireplace",7.6,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
TownePlace Suites by Marriott Albuquerque Airport,8.3,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Spacious Rustic Condo with Deck, Short Walk to Slopes",9,Apartments,New Mexico,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Comfortable 3-bedroom home with spacious backyard,9.7,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Snowfire 308A,8,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alto Home with Mtn Views about 15 Mi to Ski Apache!,9,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ain't No Better View, 3 Bedrooms, Sleeps 8, Jetted Tub, Pool Table, Hot Tub",8.5,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Angel View Condo,6,Hotels,New Mexico,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Mountain Spirits,8.2,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SnowMansion Taos Adventure Lodge,7.6,Lodges,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Old Santa Fe Trail - Walk Everywhere, Kiva Fireplace, Amazing Natural Light",10,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspen West #5 Townhouse,8.9,Apartments,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque Home with Patio Less Than 1 Mile to Nob Hill!,2,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Knights Inn Gallup Near University of New Mexico,6.6,Hotels,New Mexico,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Chic Alto Studio on 1 Acre with Updated Amenities!,9.3,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charming Albuquerque Getaway about 12 Mi to Old Town!,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Relaxing Lincoln Forest Retreat with Wraparound Deck,9,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charming Santa Fe Studio Cabin with Patio and Yard!,8.7,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Valley Cloudcroft Hideaway Less Than 8 Mi to Town!,9,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Extended stay,4,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Warm Townhome with Sauna at Angel Fire Ski Lift,9.5,Vacation Homes,New Mexico,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Angel Fire Condo Near Lift and Shuttle in Lot!,8,Apartments,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Snowfire 312A,8.2,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Our Red River Cabin,8.5,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciclo Grande 202B,9.2,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Painted Pony Cabin,8.3,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa Escondida,9.5,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wren 306,8.3,Hotels,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Retreat,9,Hotels,New Mexico,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
American Inn & Suites,4.4,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe House with Patio - 1 half Mi to Santa Fe Plaza!,8.8,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Residence Inn Santa Fe,8.6,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bright Alto Townhome with Deck, 1 Mile to Golf Club!",10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Artist Road #18, 2 Bedrooms, Sleeps 4, Flat Screen TV, Pool Access, WiFi",10,Apartments,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Family Retreat in Central Alto with Billiards Games!,10,Vacation Homes,New Mexico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
