name,rating,atnm,region_name,outdoor_swimming_pool,restaurant,excellent_breakfast,free_parking,free_wifi,fitness_center,breakfast,bar,very_good_breakfast,indoor_swimming_pool,spa,3_swimming_pools,2_swimming_pools,4_swimming_pools,room_service,beachfront,private_beach_area,wifi_in_all_areas
Travelodge by Wyndham Belen,7.6,Hotels,New Mexico,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Western Skies Inn & Suites,7.6,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Motel 6-Grants, NM",6.8,Hotels,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"Zia Park Casino, Hotel, & Racetrack",7.8,Hotels,New Mexico,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Sierra Bonita Cabins and RV Park,8.5,Lodges,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holiday Inn Express Socorro, an IHG Hotel",8.8,Hotels,New Mexico,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Brentwood Inn & Garden,7.9,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Rocket Inn,8.9,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderbird Motel Las Vegas/ New Mexico,8.5,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Economy Inn,6.3,Motels,New Mexico,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
El Pueblo Lodge,9.1,Motels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Plaza Inn Lordsburg I-10,5.7,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Best Western Kokopelli Lodge,8.3,Hotels,New Mexico,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
SureStay Plus Hotel by Best Western Silver City,9,Hotels,New Mexico,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Days Inn by Wyndham Alamogordo,7.9,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Blue Swallow Motel,9.6,Hostels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Comfort Inn & Suites Socorro,8.3,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0
"Holiday Inn Express & Suites Truth Or Consequences, an IHG Hotel",7.7,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Days Inn by Wyndham Las Cruces,7.8,Motels,New Mexico,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
The Parador,8.4,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hampton Inn Lordsburg,8.9,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Travelodge by Wyndham Vaughn,6.4,Hotels,New Mexico,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
WorldMark Red River,9,Hotels,New Mexico,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
La Quinta by Wyndham Roswell,7.6,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
La Quinta by Wyndham Hobbs,7,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"Hotel Don Fernando De Taos, Tapestry Collection By Hilton",8.2,Hotels,New Mexico,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
Great Western Inn & Suites,6.7,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hampton Inn Alamogordo,8.1,Hotels,New Mexico,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Roswell Inn,8.6,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bed and Breakfast Hearts Desire,9.5,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
